sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,velocity,steering,throttle
0.36666666666666664,0.36666666666666664,0.4,0.3,0.3,0.3,0.4,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.13125,0,1.0
0.36666666666666664,0.36666666666666664,0.43333333333333335,0.3333333333333333,0.3,0.3333333333333333,0.43333333333333335,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.1625,0,1.0
0.36666666666666664,0.36666666666666664,0.43333333333333335,0.3333333333333333,0.3,0.3333333333333333,0.43333333333333335,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.19375,0,1.0
0.36666666666666664,0.36666666666666664,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.225,0,1.0
0.36666666666666664,0.36666666666666664,0.4666666666666667,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.4666666666666667,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.25625,0,1.0
0.36666666666666664,0.36666666666666664,0.4666666666666667,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.4666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.2875,0,1.0
0.36666666666666664,0.36666666666666664,0.5,0.4,0.36666666666666664,0.4,0.5,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.31875,0,1.0
0.36666666666666664,0.36666666666666664,0.5,0.4,0.36666666666666664,0.4,0.5333333333333333,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.35,0,1.0
0.36666666666666664,0.36666666666666664,0.5,0.43333333333333335,0.4,0.43333333333333335,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.38125,0,1.0
0.36666666666666664,0.36666666666666664,0.5,0.43333333333333335,0.4,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.4125,0,1.0
0.36666666666666664,0.36666666666666664,0.5,0.4666666666666667,0.43333333333333335,0.4666666666666667,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.36666666666666664,0.44375,0,1.0
